Profil,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
A. Identitäts-Experte                                     (Angst vor Bedeutsamkeitsverlust),9,6,12,6,3,10,6,4,7,7,10,6,5,7,6
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
B. Besitzstandswahrer (Motivationale Resignation),12,6,10,7,3,5,4,10,9,6,14,6,6,5,5
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
C. Strategischer Skeptiker (Sachlicher Widerstand),11,10,12,9,10,7,9,6,10,6,7,11,4,6,4
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
D. Kultur-Bewahrer                            (Werte- & Identitäts-Konflikt),13,6,12,4,3,9,7,4,13,11,8,7,8,10,10
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
E. Status-Ängstlicher                             (Macht- & Einfluss-Verlust,11,8,12,7,3,7,6,6,7,7,9,12,14,13,13
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
F. Der Überlastete                           (Ressourcen- & Energie-Mangel),11,9,12,8,6,13,9,10,8,13,6,11,13,13,13
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Dominantes Profil,D,C,A,C,C,F,C,B,D,F,B,E,E,E,E
