Dominant,Zweitdominant,Ampel,Bedrohung-Eruptionswirkung,Intervention-Workshop,Strategisches Ziel,Dominanten Kombination,Entwicklungsrollen,Erfolgskriterien (KPI),Verantwortungsrollen,Zeitraum (1–12 Monate) 
A,E,ROT,"Zerstörerische Explosion: Hochintelligente Sabotage, offene Machtkämpfe, Projektabbruch",Rollen-Klärungs-Workshop+Executive Mediation,"Machtklarheit & Stabilität: Auflösung verdeckter Machtkämpfe, Wiederherstellung der Führungsfähigkeit",A-E-ROT,A → Mentor & Wissensanker / E → Beziehungs‑Gestalter,"Eskalationen ↓, Entscheidungszeit < 48h ",Geschäftsführung + HR + OE ,1–3 Monate
E,A,ROT,"Zerstörerische Explosion: Hochintelligente Sabotage, offene Machtkämpfe, Projektabbruch",Rollen-Klärungs-Workshop+Executive Mediation,"Machtklarheit & Stabilität: Auflösung verdeckter Machtkämpfe, Wiederherstellung der Führungsfähigkeit",E-A-ROT,E → Beziehungs‑Gestalter / A → Mentor & Wissensanker,"Eskalationen ↓, Entscheidungszeit < 48h ",Geschäftsführung + HR + OE ,1–3 Monate
A,F,ROT,"Systemischer Kollaps: Ausfall von Schlüsselpersonen (Burnout, Kündigung) ",Stop-Doing-Session+Ressourcen-Rebalancing,Resilienz & Kapazitätsaufbau: Entlastung als Voraussetzung für Veränderungsfähigkeit,A-F-ROT,A → Mentor & Wissensanker / F → Resilienz‑Champion,"Krankenstand ↓, Fokuszeiten ↑ ",HR + Teamleitung ,1–2 Monate
F,A,ROT,"Systemischer Kollaps: Ausfall von Schlüsselpersonen (Burnout, Kündigung) ",Stop-Doing-Session+Ressourcen-Rebalancing,Resilienz & Kapazitätsaufbau: Entlastung als Voraussetzung für Veränderungsfähigkeit,F-A-ROT,F → Resilienz‑Champion / A → Mentor & Wissensanker,"Krankenstand ↓, Fokuszeiten ↑ ",HR + Teamleitung ,1–2 Monate
A,D,ROT,Kulturelle Rebellion: Blockade des Neuen aus moralischem Pflichtgefühl,Culture-Heritage-Lab,Kulturelle Identität sichern: Werte in die neue Welt übersetzen,A-D-ROT,A → Mentor & Wissensanker / D → Werte‑Botschafter,"Kulturindex ↑, Konflikte ↓ ",Geschäftsführung + Kulturteam,2–4 Monate
D,A,ROT,Kulturelle Rebellion: Blockade des Neuen aus moralischem Pflichtgefühl,Culture-Heritage-Lab,Kulturelle Identität sichern: Werte in die neue Welt übersetzen,D-A-ROT,D → Werte‑Botschafter / A → Mentor & Wissensanker,"Kulturindex ↑, Konflikte ↓ ",Geschäftsführung + Kulturteam,2–4 Monate
E,F,ROT,"Burnout‑Eskalation: Leistungsdruck trifft Überlastung; Zusammenbruch, Rückzug, Fehler, Konflikte",Kapazitäts‑Reset; Ressourcen‑Rebalancing; Stop‑Doing; Erwartungs‑Alignment; psychologische Sicherheit,Nachhaltige Leistungsfähigkeit; klare Prioritäten; Balance zwischen Anspruch & Kapazität; stabile Belastbarkeit,E-F-ROT,E → Beziehungs‑Gestalter / F → Resilienz‑Champion,"Belastbarkeit ↑, Prioritätenklarheit ↑, Fehlerquote ↓",Führungskraft + HR + OE,3–6 Monate
F,E,ROT,"Burnout‑Eskalation: Leistungsdruck trifft Überlastung; Zusammenbruch, Rückzug, Fehler, Konflikte",Kapazitäts‑Reset; Ressourcen‑Rebalancing; Stop‑Doing; Erwartungs‑Alignment; psychologische Sicherheit,Nachhaltige Leistungsfähigkeit; klare Prioritäten; Balance zwischen Anspruch & Kapazität; stabile Belastbarkeit,F-E-ROT,F → Resilienz‑Champion / E → Beziehungs‑Gestalter,"Belastbarkeit ↑, Prioritätenklarheit ↑, Fehlerquote ↓",Führungskraft + HR + OE,3–6 Monate
B,D,GELB,"Zähflüssiger Lavafluss: Sarkasmus, Zynismus, Dienst nach Vorschrift",Insel-Design-Workshop,"Stabilität & psychologische Sicherheit: Routinen definieren, Druck reduzieren",B-D-GELB,B → Stabilitäts‑Architekt / D → Werte‑Botschafter,"Zufriedenheit ↑, Fluktuation ↓ ",Teamleitung + HR ,2–6 Monate
D,B,GELB,"Zähflüssiger Lavafluss: Sarkasmus, Zynismus, Dienst nach Vorschrift",Insel-Design-Workshop,"Stabilität & psychologische Sicherheit: Routinen definieren, Druck reduzieren",D-B-GELB,D → Werte‑Botschafter / B → Stabilitäts‑Architekt,"Zufriedenheit ↑, Fluktuation ↓ ",Teamleitung + HR ,2–6 Monate
A,C,GELB,"Schleichender Stillstand: Strategie wird logisch zerlegt, Belegschaft wird mitgerissen",Quality-Gate-Gremium ,Strategische Präzision: Nutzung der Expertise zur Verbesserung statt Blockade,A-C-GELB,A → Mentor & Wissensanker / C → Qualitäts‑Navigator,"Fehlerquote ↓, Strategie-Commitment ↑ ",Fachbereichsleitung + PMO,3–6 Monate
C,A,GELB,"Schleichender Stillstand: Strategie wird logisch zerlegt, Belegschaft wird mitgerissen",Quality-Gate-Gremium ,Strategische Präzision: Nutzung der Expertise zur Verbesserung statt Blockade,C-A-GELB,C → Qualitäts‑Navigator / A → Mentor & Wissensanker,"Fehlerquote ↓, Strategie-Commitment ↑ ",Fachbereichsleitung + PMO,3–6 Monate
A,B,GELB,"Innere Kündigung: Verlust von Kreativität, mechanisches Abarbeiten",Zukunfts-Tandem + Kompetenz-Pfad,Kompetenzaufbau & Selbstwirksamkeit: Wiederbelebung der Innovationskraft,A-B-GELB,A → Mentor & Wissensanker / B → Stabilitäts‑Architekt,"Lernfortschritt ↑, Innovationsrate ↑ ",HR + Teamleitung ,4–8 Monate 
B,A,GELB,"Innere Kündigung: Verlust von Kreativität, mechanisches Abarbeiten",Zukunfts-Tandem + Kompetenz-Pfad,Kompetenzaufbau & Selbstwirksamkeit: Wiederbelebung der Innovationskraft,B-A-GELB,B → Stabilitäts‑Architekt / A → Mentor & Wissensanker,"Lernfortschritt ↑, Innovationsrate ↑ ",HR + Teamleitung ,4–8 Monate 
C,E,GELB,Lähmender Prozessstau: Politische Scheindebatten blockieren Entscheidungen,Moderierte Entscheidungs-Foren,Entscheidungsfähigkeit stärken: Trennung von Logik & Politik,C-E-GELB,C → Qualitäts‑Navigator / E → Beziehungs‑Gestalter,"Entscheidungsdauer ↓, Meetingzeit ↓ ",Führungsteam + PMO,1–4 Monate 
