Timestamp,"A1. Ich habe das Gefühl, dass mein bisheriges Fachwissen in der neuen Strategie weniger wertgeschätzt wird.","A2. Es ist unklar, wie meine konkrete Expertenrolle in der veränderten Struktur in Zukunft aussehen soll.","A3. Die neuen Prozesse/Technologien entwerten das, was uns bisher als Spezialisten erfolgreich gemacht hat.","B1. Ich möchte am liebsten, dass meine täglichen Arbeitsabläufe so bleiben, wie sie aktuell und bewährt sind.","B2. Ich sehe für mich persönlich keinen Sinn oder Nutzen darin, mich jetzt noch in komplett neue Systeme einzuarbeiten.","B3. Ich leiste meinen festen Beitrag, aber die großen strategischen Sprünge sollen die jüngeren/anderen machen.","C1. Ich bezweifle, dass die von der Geschäftsführung geplanten Maßnahmen ausreichen, um unsere Marktposition langfristig zu sichern.",C2. In der neuen Strategie wurden wichtige logische oder operative Probleme aus unserem realen Arbeitsalltag übersehen.,C3. Ich halte die gesetzten Meilensteine und strategischen Ziele für unrealistisch und am Markt vorbei geplant.,"D1. Ich habe die Befürchtung, dass durch das schnelle Wachstum und die Internationalisierung das familiäre Miteinander verloren geht.",D2. Die neuen strategischen Werte der Firma passen nicht mehr zu meinen persönlichen Werten und Überzeugungen.,"D3. Ich sorge mich, dass wir durch die Veränderungen unsere Wurzeln und das, was uns als KMU ausmacht, aufgeben.","E1. Durch die Umstrukturierung befürchte ich, dass mein Mitspracherecht oder mein Einfluss im Team schrumpfen werden.","E2. Es besteht das Risiko, dass meine bisherigen Leistungen und meine informelle Rolle im Unternehmen künftig weniger zählen.",E3. Ich fühle mich durch die unklare Neuverteilung von Aufgaben und Verantwortlichkeiten in meiner Position bedroht.,"F1. Unser Tagesgeschäft ist bereits so dicht, dass ich schlichtweg keine Kapazität für zusätzliche Transformations-Projekte habe.",F2. Ich fühle mich durch die Geschwindigkeit und die Menge der gleichzeitigen Veränderungen im Unternehmen emotional erschöpft.,"F3. Es fehlen uns die personellen, finanziellen und zeitlichen Ressourcen, um diese neue Strategie überhaupt sauber umsetzen zu können."
6/16/2026 11:41:06,3,3,3,4,4,4,2,5,4,5,4,4,4,4,3,3,3,5
6/16/2026 12:39:18,2,2,2,2,3,1,3,3,4,2,3,1,1,3,4,4,2,3
6/16/2026 12:53:58,4,4,4,5,2,3,4,4,4,5,3,4,4,4,4,4,4,4
6/16/2026 12:57:53,2,1,3,1,3,3,3,3,3,1,1,2,1,2,4,2,4,2
6/16/2026 13:11:49,1,1,1,1,1,1,4,3,3,1,1,1,1,1,1,1,1,4
6/16/2026 13:32:13,2,4,4,2,1,2,2,3,2,4,3,2,2,3,2,4,4,5
6/16/2026 15:18:17,2,2,2,2,1,1,3,3,3,4,1,2,2,2,2,3,3,3
6/16/2026 19:12:09,1,2,1,3,5,2,2,2,2,1,1,2,3,2,1,3,4,3
6/17/2026 8:13:10,2,3,2,4,3,2,4,3,3,4,5,4,2,2,3,4,2,2
6/17/2026 16:11:57,2,3,2,2,2,2,2,2,2,4,4,3,2,2,3,5,4,4
6/17/2026 18:32:10,4,4,2,5,4,5,4,2,1,3,4,1,3,5,1,1,3,2
6/17/2026 22:21:35,1,3,2,3,1,2,3,3,5,2,3,2,3,5,4,3,4,4
6/17/2026 22:23:12,2,1,2,2,1,3,1,2,1,2,3,3,5,4,5,4,4,5
6/17/2026 22:25:28,2,2,3,1,1,3,1,2,3,3,3,4,4,4,5,4,5,4
6/17/2026 22:26:46,3,1,2,1,2,2,1,2,1,3,3,4,5,4,4,4,4,5
