Teilnehmer,Dominantes Profil,Zweitprofil,Ampel,Farbe,Bedrohung-Eruptionswirkung,Intervention-Workshop,Strategisches Ziel,,Entwicklungsrollen,Erfolgskriterien (KPI),Verantwortungsrollen,Zeitraum (1–12 Monate) 
1,E,D,GELB,,"Status kollidiert mit Kulturwerten: verdeckte Loyalitätskonflikte, Missverständnisse, sinkende Kohäsion","Werte‑Alignment, Rollenklärung, Teamnormen‑Workshop, Feedback‑Rituale, moderierter Dialog",Balance zwischen Anerkennung & Kultur; psychologische Sicherheit; kohärentes Team,E-D-GELB,E → Beziehungs‑Gestalter / D → Werte‑Botschafter,"Missverständnisse ↓, Teamkohäsion ↑",Führungskraft + Kulturteam,2–5 Monate
2,E,C,GELB,,Lähmender Prozessstau: Politische Scheindebatten blockieren Entscheidungen,Moderierte Entscheidungs-Foren,Entscheidungsfähigkeit stärken: Trennung von Logik & Politik,E-C-GELB,E → Beziehungs‑Gestalter / C → Qualitäts‑Navigator,"Entscheidungsdauer ↓, Meetingzeit ↓ ",Führungsteam + PMO,1–4 Monate 
3,A,E,ROT,,"Zerstörerische Explosion: Hochintelligente Sabotage, offene Machtkämpfe, Projektabbruch",Rollen-Klärungs-Workshop+Executive Mediation,"Machtklarheit & Stabilität: Auflösung verdeckter Machtkämpfe, Wiederherstellung der Führungsfähigkeit",A-E-ROT,A → Mentor & Wissensanker / E → Beziehungs‑Gestalter,"Eskalationen ↓, Entscheidungszeit < 48h ",Geschäftsführung + HR + OE ,1–3 Monate
4,E,C,GELB,,Lähmender Prozessstau: Politische Scheindebatten blockieren Entscheidungen,Moderierte Entscheidungs-Foren,Entscheidungsfähigkeit stärken: Trennung von Logik & Politik,E-C-GELB,E → Beziehungs‑Gestalter / C → Qualitäts‑Navigator,"Entscheidungsdauer ↓, Meetingzeit ↓ ",Führungsteam + PMO,1–4 Monate 
5,C,F,GRÜN,,"Verzögerungen: Deadlines reißen, aber keine Sabotage",Kapazitäts-Check + Priorisierungs-Sprint,Realistische Planung: Zeitpuffer & Ressourcen für nachhaltige Umsetzung,C-F-GRÜN,C → Qualitäts‑Navigator / F → Resilienz‑Champion,"Termintreue ↑, Überstunden ↓ ",Teamleitung + PMO,1–3 Monate 
6,A,F,ROT,,"Systemischer Kollaps: Ausfall von Schlüsselpersonen (Burnout, Kündigung) ",Stop-Doing-Session+Ressourcen-Rebalancing,Resilienz & Kapazitätsaufbau: Entlastung als Voraussetzung für Veränderungsfähigkeit,A-F-ROT,A → Mentor & Wissensanker / F → Resilienz‑Champion,"Krankenstand ↓, Fokuszeiten ↑ ",HR + Teamleitung ,1–2 Monate
7,C,A,GELB,,"Schleichender Stillstand: Strategie wird logisch zerlegt, Belegschaft wird mitgerissen",Quality-Gate-Gremium ,Strategische Präzision: Nutzung der Expertise zur Verbesserung statt Blockade,C-A-GELB,C → Qualitäts‑Navigator / A → Mentor & Wissensanker,"Fehlerquote ↓, Strategie-Commitment ↑ ",Fachbereichsleitung + PMO,3–6 Monate
8,F,B,GELB,,Kreativitäts‑Erosion: Erschöpfung bremst Ideen; Frust & Rückzug,Ressourcen‑Rebalancing; Stop‑Doing; geschützte Kreativphasen,Nachhaltige Kreativität & stabile Kapazitäten,F-B-GELB,F → Resilienz‑Champion / B → Stabilitäts‑Architekt,"Erschöpfung ↓, Ideenrate ↑",HR + OE,2–5 Monate
9,D,A,ROT,,Kulturelle Rebellion: Blockade des Neuen aus moralischem Pflichtgefühl,Culture-Heritage-Lab,Kulturelle Identität sichern: Werte in die neue Welt übersetzen,D-A-ROT,D → Werte‑Botschafter / A → Mentor & Wissensanker,"Kulturindex ↑, Konflikte ↓ ",Geschäftsführung + Kulturteam,2–4 Monate
10,F,D,GELB,,Loyalitäts‑Überlastung: Pflichtgefühl kollidiert mit Erschöpfung; Schuld & Überforderung,Team‑Care; Rollenklärung; gesunde Teamnormen,Psychologische Sicherheit & Belastbarkeit,F-D-GELB,F → Resilienz‑Champion / D → Werte‑Botschafter,"Belastbarkeit ↑, Loyalitätskonflikte ↓",Führungskraft + HR,3–6 Monate
