Teilnehmer,Dominantes Profil,Zweitprofil,Ampel,Farbe,Profil‑Mustername,Bedrohung-Eruptionswirkung,Intervention-Workshop,Strategisches Ziel,,Entwicklungsrollen,Entwicklungsstory,Erfolgskriterien (KPI),Verantwortungsrollen,Zeitraum (1–12 Monate) 
1,E,D,GELB,,Der Loyalitäts‑Konfliktträger,"Status kollidiert mit Kulturwerten: verdeckte Loyalitätskonflikte, Missverständnisse, sinkende Kohäsion","Werte‑Alignment, Rollenklärung, Teamnormen‑Workshop, Feedback‑Rituale, moderierter Dialog",Balance zwischen Anerkennung & Kultur; psychologische Sicherheit; kohärentes Team,E-D-GELB,E → Beziehungs‑Gestalter / D → Werte‑Botschafter,Der Teilnehmer gewinnt Anerkennung durch Beziehung statt Status und verbindet dies mit kultureller Klarheit. Das Team wird kohärenter.,"Missverständnisse ↓, Teamkohäsion ↑",Führungskraft + Kulturteam,2–5 Monate
2,E,C,GELB,,Der Status‑Politiker,Lähmender Prozessstau: Politische Scheindebatten blockieren Entscheidungen,Moderierte Entscheidungs-Foren,Entscheidungsfähigkeit stärken: Trennung von Logik & Politik,E-C-GELB,E → Beziehungs‑Gestalter / C → Qualitäts‑Navigator,Der Teilnehmer stärkt Beziehungen und entwickelt gleichzeitig analytische Klarheit. Die Zusammenarbeit wird effizient und kooperativ.,"Entscheidungsdauer ↓, Meetingzeit ↓ ",Führungsteam + PMO,1–4 Monate 
3,A,E,ROT,,Der Bedeutsamkeits‑Ängstliche,"Zerstörerische Explosion: Hochintelligente Sabotage, offene Machtkämpfe, Projektabbruch",Rollen-Klärungs-Workshop+Executive Mediation,"Machtklarheit & Stabilität: Auflösung verdeckter Machtkämpfe, Wiederherstellung der Führungsfähigkeit",A-E-ROT,A → Mentor & Wissensanker / E → Beziehungs‑Gestalter,"Nach der Klärung entwickelt der Teilnehmer die Stärke eines Mentors, der Orientierung gibt, und gleichzeitig die Fähigkeit eines Beziehungs‑Gestalters, der Einfluss durch Kooperation statt Status gewinnt.","Eskalationen ↓, Entscheidungszeit < 48h ",Geschäftsführung + HR + OE ,1–3 Monate
4,E,C,GELB,,Der Status‑Politiker,Lähmender Prozessstau: Politische Scheindebatten blockieren Entscheidungen,Moderierte Entscheidungs-Foren,Entscheidungsfähigkeit stärken: Trennung von Logik & Politik,E-C-GELB,E → Beziehungs‑Gestalter / C → Qualitäts‑Navigator,Der Teilnehmer stärkt Beziehungen und entwickelt gleichzeitig analytische Klarheit. Die Zusammenarbeit wird effizient und kooperativ.,"Entscheidungsdauer ↓, Meetingzeit ↓ ",Führungsteam + PMO,1–4 Monate 
5,C,F,GRÜN,,Der Analytische Belastbarkeits‑Navigator,"Verzögerungen: Deadlines reißen, aber keine Sabotage",Kapazitäts-Check + Priorisierungs-Sprint,Realistische Planung: Zeitpuffer & Ressourcen für nachhaltige Umsetzung,C-F-GRÜN,C → Qualitäts‑Navigator / F → Resilienz‑Champion,Der Teilnehmer strukturiert Aufgaben und entwickelt gleichzeitig gesunde Leistungsfähigkeit. Die Zusammenarbeit wird nachhaltig und effizient.,"Termintreue ↑, Überstunden ↓ ",Teamleitung + PMO,1–3 Monate 
6,A,F,ROT,,Der Überlastete Identitäts‑Träger ,"Systemischer Kollaps: Ausfall von Schlüsselpersonen (Burnout, Kündigung) ",Stop-Doing-Session+Ressourcen-Rebalancing,Resilienz & Kapazitätsaufbau: Entlastung als Voraussetzung für Veränderungsfähigkeit,A-F-ROT,A → Mentor & Wissensanker / F → Resilienz‑Champion,"Der Teilnehmer wächst in die Rolle eines Mentors hinein, der Verantwortung teilt, und entwickelt zugleich die Resilienz eines Champions, der gesunde Leistung ermöglicht.","Krankenstand ↓, Fokuszeiten ↑ ",HR + Teamleitung ,1–2 Monate
7,C,A,GELB,,Der Strategisch‑Zerlegende Analytiker ,"Schleichender Stillstand: Strategie wird logisch zerlegt, Belegschaft wird mitgerissen",Quality-Gate-Gremium ,Strategische Präzision: Nutzung der Expertise zur Verbesserung statt Blockade,C-A-GELB,C → Qualitäts‑Navigator / A → Mentor & Wissensanker,"Der Teilnehmer entwickelt präzise Qualitätsorientierung und gleichzeitig die Fähigkeit, andere als Mentor zu unterstützen. Die Dynamik wird konstruktiv und strategisch klar","Fehlerquote ↓, Strategie-Commitment ↑ ",Fachbereichsleitung + PMO,3–6 Monate
8,F,B,GELB,,Der Überlastete Stabilitäts‑Sucher,Kreativitäts‑Erosion: Erschöpfung bremst Ideen; Frust & Rückzug,Ressourcen‑Rebalancing; Stop‑Doing; geschützte Kreativphasen,Nachhaltige Kreativität & stabile Kapazitäten,F-B-GELB,F → Resilienz‑Champion / B → Stabilitäts‑Architekt,Der Teilnehmer stärkt seine Belastbarkeit und entwickelt gleichzeitig Strukturkompetenz. Die Dynamik wird nachhaltig.,"Erschöpfung ↓, Ideenrate ↑",HR + OE,2–5 Monate
9,D,A,ROT,,Der Pflicht‑Getriebene Bewahrer,Kulturelle Rebellion: Blockade des Neuen aus moralischem Pflichtgefühl,Culture-Heritage-Lab,Kulturelle Identität sichern: Werte in die neue Welt übersetzen,D-A-ROT,D → Werte‑Botschafter / A → Mentor & Wissensanker,"Der Teilnehmer entwickelt sich zu einem Werte‑Botschafter, der Sinn stiftet, und gleichzeitig zu einem Mentor, der Veränderung stabil begleitet.","Kulturindex ↑, Konflikte ↓ ",Geschäftsführung + Kulturteam,2–4 Monate
10,F,D,GELB,,Der Überlastete Loyalitäts‑Träger,Loyalitäts‑Überlastung: Pflichtgefühl kollidiert mit Erschöpfung; Schuld & Überforderung,Team‑Care; Rollenklärung; gesunde Teamnormen,Psychologische Sicherheit & Belastbarkeit,F-D-GELB,F → Resilienz‑Champion / D → Werte‑Botschafter,Der Teilnehmer entwickelt gesunde Leistungsfähigkeit und gleichzeitig kulturelle Klarheit. Die Veränderung wird tragfähig.,"Belastbarkeit ↑, Loyalitätskonflikte ↓",Führungskraft + HR,3–6 Monate
