Dominant,Zweitdominant,Ampel,Bedrohung-Eruptionswirkung,Intervention-Workshop,Strategisches Ziel,Dominanten Kombination,Profil‑Mustername,Entwicklungsrollen,Entwicklungsstory,Erfolgskriterien (KPI),Verantwortungsrollen,Zeitraum (1–12 Monate) 
A,E,ROT,"Zerstörerische Explosion: Hochintelligente Sabotage, offene Machtkämpfe, Projektabbruch",Rollen-Klärungs-Workshop+Executive Mediation,"Machtklarheit & Stabilität: Auflösung verdeckter Machtkämpfe, Wiederherstellung der Führungsfähigkeit",A-E-ROT,Der Bedeutsamkeits‑Ängstliche,A → Mentor & Wissensanker / E → Beziehungs‑Gestalter,"Nach der Klärung entwickelt der Teilnehmer die Stärke eines Mentors, der Orientierung gibt, und gleichzeitig die Fähigkeit eines Beziehungs‑Gestalters, der Einfluss durch Kooperation statt Status gewinnt.","Eskalationen ↓, Entscheidungszeit < 48h ",Geschäftsführung + HR + OE ,1–3 Monate
E,A,ROT,"Zerstörerische Explosion: Hochintelligente Sabotage, offene Machtkämpfe, Projektabbruch",Rollen-Klärungs-Workshop+Executive Mediation,"Machtklarheit & Stabilität: Auflösung verdeckter Machtkämpfe, Wiederherstellung der Führungsfähigkeit",E-A-ROT,Der Status‑Verunsicherte Experte,E → Beziehungs‑Gestalter / A → Mentor & Wissensanker,"Der Teilnehmer lernt, Beziehungen statt Macht zu nutzen und gewinnt Stabilität. Gleichzeitig entfaltet er die Qualitäten eines Mentors, der dem Team Sicherheit und Richtung gibt.","Eskalationen ↓, Entscheidungszeit < 48h ",Geschäftsführung + HR + OE ,1–3 Monate
A,F,ROT,"Systemischer Kollaps: Ausfall von Schlüsselpersonen (Burnout, Kündigung) ",Stop-Doing-Session+Ressourcen-Rebalancing,Resilienz & Kapazitätsaufbau: Entlastung als Voraussetzung für Veränderungsfähigkeit,A-F-ROT,Der Überlastete Identitäts‑Träger ,A → Mentor & Wissensanker / F → Resilienz‑Champion,"Der Teilnehmer wächst in die Rolle eines Mentors hinein, der Verantwortung teilt, und entwickelt zugleich die Resilienz eines Champions, der gesunde Leistung ermöglicht.","Krankenstand ↓, Fokuszeiten ↑ ",HR + Teamleitung ,1–2 Monate
F,A,ROT,"Systemischer Kollaps: Ausfall von Schlüsselpersonen (Burnout, Kündigung) ",Stop-Doing-Session+Ressourcen-Rebalancing,Resilienz & Kapazitätsaufbau: Entlastung als Voraussetzung für Veränderungsfähigkeit,F-A-ROT,Der Überlastete Identitäts‑Träger ,F → Resilienz‑Champion / A → Mentor & Wissensanker,"Der Teilnehmer stärkt seine Resilienz und lernt, Prioritäten klar zu setzen. Gleichzeitig entwickelt er die Qualitäten eines Mentors, der das Team stabilisiert.","Krankenstand ↓, Fokuszeiten ↑ ",HR + Teamleitung ,1–2 Monate
A,D,ROT,Kulturelle Rebellion: Blockade des Neuen aus moralischem Pflichtgefühl,Culture-Heritage-Lab,Kulturelle Identität sichern: Werte in die neue Welt übersetzen,A-D-ROT,Der Werte‑Blockierende Experte,A → Mentor & Wissensanker / D → Werte‑Botschafter,Der Teilnehmer verbindet die Stärke eines Mentors mit der Rolle eines Werte‑Botschafters. Er übersetzt Kultur in die neue Welt und gibt dem Team Orientierung.,"Kulturindex ↑, Konflikte ↓ ",Geschäftsführung + Kulturteam,2–4 Monate
D,A,ROT,Kulturelle Rebellion: Blockade des Neuen aus moralischem Pflichtgefühl,Culture-Heritage-Lab,Kulturelle Identität sichern: Werte in die neue Welt übersetzen,D-A-ROT,Der Pflicht‑Getriebene Bewahrer,D → Werte‑Botschafter / A → Mentor & Wissensanker,"Der Teilnehmer entwickelt sich zu einem Werte‑Botschafter, der Sinn stiftet, und gleichzeitig zu einem Mentor, der Veränderung stabil begleitet.","Kulturindex ↑, Konflikte ↓ ",Geschäftsführung + Kulturteam,2–4 Monate
E,F,ROT,"Burnout‑Eskalation: Leistungsdruck trifft Überlastung; Zusammenbruch, Rückzug, Fehler, Konflikte",Kapazitäts‑Reset; Ressourcen‑Rebalancing; Stop‑Doing; Erwartungs‑Alignment; psychologische Sicherheit,Nachhaltige Leistungsfähigkeit; klare Prioritäten; Balance zwischen Anspruch & Kapazität; stabile Belastbarkeit,E-F-ROT,Der Druck‑Überlastete Performer  ,E → Beziehungs‑Gestalter / F → Resilienz‑Champion,"Der Teilnehmer gewinnt Klarheit in Beziehungen und stärkt zugleich seine Resilienz. Er wird zu einer stabilen, kooperativen Kraft im Team.","Belastbarkeit ↑, Prioritätenklarheit ↑, Fehlerquote ↓",Führungskraft + HR + OE,3–6 Monate
F,E,ROT,"Burnout‑Eskalation: Leistungsdruck trifft Überlastung; Zusammenbruch, Rückzug, Fehler, Konflikte",Kapazitäts‑Reset; Ressourcen‑Rebalancing; Stop‑Doing; Erwartungs‑Alignment; psychologische Sicherheit,Nachhaltige Leistungsfähigkeit; klare Prioritäten; Balance zwischen Anspruch & Kapazität; stabile Belastbarkeit,F-E-ROT,Der Überlastete Status‑Sucher,F → Resilienz‑Champion / E → Beziehungs‑Gestalter,"Der Teilnehmer baut Belastung ab und entwickelt Resilienz. Gleichzeitig stärkt er seine Fähigkeit, Beziehungen konstruktiv zu gestalten","Belastbarkeit ↑, Prioritätenklarheit ↑, Fehlerquote ↓",Führungskraft + HR + OE,3–6 Monate
B,D,GELB,"Zähflüssiger Lavafluss: Sarkasmus, Zynismus, Dienst nach Vorschrift",Insel-Design-Workshop,"Stabilität & psychologische Sicherheit: Routinen definieren, Druck reduzieren",B-D-GELB,Der Pflicht‑Routine‑Bewahrer,B → Stabilitäts‑Architekt / D → Werte‑Botschafter,"Der Teilnehmer entwickelt die Fähigkeit, stabile Strukturen zu schaffen, und gleichzeitig Werte zu vermitteln. Er wird zu einer verlässlichen, kulturell verbundenen Kraft im Team.","Zufriedenheit ↑, Fluktuation ↓ ",Teamleitung + HR ,2–6 Monate
D,B,GELB,"Zähflüssiger Lavafluss: Sarkasmus, Zynismus, Dienst nach Vorschrift",Insel-Design-Workshop,"Stabilität & psychologische Sicherheit: Routinen definieren, Druck reduzieren",D-B-GELB,Der Werte‑Routine‑Träger,D → Werte‑Botschafter / B → Stabilitäts‑Architekt,Der Teilnehmer verbindet Wertebewusstsein mit struktureller Klarheit. Er schafft sowohl Sinn als auch Ordnung und stärkt damit die Teamkohäsion,"Zufriedenheit ↑, Fluktuation ↓ ",Teamleitung + HR ,2–6 Monate
