Profil,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
A. Identitäts-Experte                                     (Angst vor Bedeutsamkeitsverlust),11.7,7.8,15.6,7.8,3.9,13,7.8,5.2,9.1,9.1,13,7.8,6.5,9.1,7.8
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
B. Besitzstandswahrer (Motivationale Resignation),9.6,4.8,8,5.6,2.4,4,3.2,8,7.2,4.8,11.2,4.8,4.8,4,4
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
C. Strategischer Skeptiker (Sachlicher Widerstand),9.9,9,10.8,8.1,9,6.3,8.1,5.4,9,5.4,6.3,9.9,3.6,5.4,3.6
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
D. Kultur-Bewahrer           (Werte- & Identitäts-Konflikt),13,6,12,4,3,9,7,4,13,11,8,7,8,10,10
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
E. Status-Ängstlicher         (Macht- & Einfluss-Verlust),13.2,9.6,14.4,8.4,3.6,8.4,7.2,7.2,8.4,8.4,10.8,14.4,16.8,15.6,15.6
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
F. Der Überlastete (Ressourcen- & Energie-Mangel),9.4,7.7,10.2,6.8,5.1,11.1,7.7,8.5,6.8,11.1,5.1,9.4,11.1,11.1,11.1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Dominantes Profil,E,E,A,E,C,A,C,F,D,F,A,E,E,E,E
Zweitdominantes Profil,D,C,E,C,F,F,A,B,A,D,B,C,F,F,F
Gefahrenampel,GELB,GELB,ROT,GELB,GRÜN,ROT,GELB,GELB,ROT,GELB,GELB,GELB,ROT,ROT,ROT
